model_name,fold_idx,accuracy,embedding,weight
LogisticRegression,3,0.41524799852765254,fasttext,mean
LogisticRegression,4,0.4158231342596853,fasttext,mean
RandomForestClassifier,0,0.3783385861188433,fasttext,tfidf
RandomForestClassifier,1,0.3793277968207228,fasttext,tfidf
RandomForestClassifier,2,0.37919849084383916,fasttext,tfidf
RandomForestClassifier,3,0.3800726971565289,fasttext,tfidf
RandomForestClassifier,4,0.37938253427808966,fasttext,tfidf
LinearSVC,0,0.36607697439554626,fasttext,tfidf
LinearSVC,1,0.36639904299615816,fasttext,tfidf
LinearSVC,2,0.36617741787061747,fasttext,tfidf
LinearSVC,3,0.36732768933468296,fasttext,tfidf
LinearSVC,4,0.36546424956289686,fasttext,tfidf
LogisticRegression,0,0.3637764843911753,fasttext,tfidf
LogisticRegression,1,0.36237318548850905,fasttext,tfidf
LogisticRegression,2,0.363623815220392,fasttext,tfidf
LogisticRegression,3,0.3641299346645808,fasttext,tfidf
LogisticRegression,4,0.36346277721542286,fasttext,tfidf
RandomForestClassifier,0,0.4000552117601049,fasttext,sif
RandomForestClassifier,1,0.39968713335940553,fasttext,sif
RandomForestClassifier,2,0.4005245237876139,fasttext,sif
RandomForestClassifier,3,0.4002944694948008,fasttext,sif
RandomForestClassifier,4,0.39983436090917457,fasttext,sif
LinearSVC,0,0.41972440129747635,fasttext,sif
LinearSVC,1,0.42184085210149763,fasttext,sif
LinearSVC,2,0.42122941014079324,fasttext,sif
LinearSVC,3,0.4223796816048587,fasttext,sif
LinearSVC,4,0.4232998987761112,fasttext,sif
LogisticRegression,0,0.397593687455428,fasttext,sif
LogisticRegression,1,0.3965584669534611,fasttext,sif
LogisticRegression,2,0.39691267139044817,fasttext,sif
LogisticRegression,3,0.3979249102788258,fasttext,sif
LogisticRegression,4,0.3970737093954173,fasttext,sif
